"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\theoa\projects\graduate-back-end\DbConfig.js", "JavaScript", 24, 0, 0, 7, 31
"c:\Users\theoa\projects\graduate-back-end\models\AppointmentRequest.js", "JavaScript", 34, 0, 1, 3, 38
"c:\Users\theoa\projects\graduate-back-end\models\Token.js", "JavaScript", 13, 0, 0, 2, 15
"c:\Users\theoa\projects\graduate-back-end\models\User.js", "JavaScript", 84, 0, 13, 11, 108
"c:\Users\theoa\projects\graduate-back-end\models\Visits.js", "JavaScript", 49, 0, 1, 6, 56
"c:\Users\theoa\projects\graduate-back-end\package-lock.json", "JSON", 0, 1911, 0, 1, 1912
"c:\Users\theoa\projects\graduate-back-end\package.json", "JSON", 0, 25, 0, 1, 26
"c:\Users\theoa\projects\graduate-back-end\routes\AdminRoutes.js", "JavaScript", 97, 0, 25, 16, 138
"c:\Users\theoa\projects\graduate-back-end\routes\AppointmentRequestRoutes.js", "JavaScript", 140, 0, 46, 30, 216
"c:\Users\theoa\projects\graduate-back-end\routes\ManagementRoutes.js", "JavaScript", 116, 0, 33, 24, 173
"c:\Users\theoa\projects\graduate-back-end\routes\OldUserRoutes.js", "JavaScript", 169, 0, 26, 26, 221
"c:\Users\theoa\projects\graduate-back-end\routes\UserRoutes.js", "JavaScript", 105, 0, 385, 76, 566
"c:\Users\theoa\projects\graduate-back-end\routes\VisitRoutes.js", "JavaScript", 183, 0, 34, 50, 267
"c:\Users\theoa\projects\graduate-back-end\routes\VolunteerRoutes.js", "JavaScript", 204, 0, 62, 39, 305
"c:\Users\theoa\projects\graduate-back-end\server\index.js", "JavaScript", 70, 0, 6, 22, 98
"c:\Users\theoa\projects\graduate-back-end\utils\SendEmail.js", "JavaScript", 26, 0, 0, 2, 28
"c:\Users\theoa\projects\graduate-back-end\utils\SendPass.js", "JavaScript", 30, 0, 0, 4, 34
"c:\Users\theoa\projects\graduate-back-end\utils\ageUtils.js", "JavaScript", 17, 0, 3, 2, 22
"c:\Users\theoa\projects\graduate-back-end\utils\jwtHelpers.js", "JavaScript", 11, 0, 0, 0, 11
"Total", "-", 1372, 1936, 635, 322, 4265
