"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\theoa\projects\graduate-back-end\DbConfig.js", "JavaScript", 0, 24, 0, 7, 31
"c:\Users\theoa\projects\graduate-back-end\models\AppointmentRequest.js", "JavaScript", 0, 34, 1, 3, 38
"c:\Users\theoa\projects\graduate-back-end\models\Token.js", "JavaScript", 0, 13, 0, 2, 15
"c:\Users\theoa\projects\graduate-back-end\models\User.js", "JavaScript", 0, 84, 13, 11, 108
"c:\Users\theoa\projects\graduate-back-end\models\Visits.js", "JavaScript", 0, 49, 1, 6, 56
"c:\Users\theoa\projects\graduate-back-end\package-lock.json", "JSON", 1911, 0, 0, 1, 1912
"c:\Users\theoa\projects\graduate-back-end\package.json", "JSON", 25, 0, 0, 1, 26
"c:\Users\theoa\projects\graduate-back-end\routes\AdminRoutes.js", "JavaScript", 0, 97, 25, 16, 138
"c:\Users\theoa\projects\graduate-back-end\routes\AppointmentRequestRoutes.js", "JavaScript", 0, 142, 46, 30, 218
"c:\Users\theoa\projects\graduate-back-end\routes\ManagementRoutes.js", "JavaScript", 0, 116, 33, 24, 173
"c:\Users\theoa\projects\graduate-back-end\routes\OldUserRoutes.js", "JavaScript", 0, 188, 43, 32, 263
"c:\Users\theoa\projects\graduate-back-end\routes\UserRoutes.js", "JavaScript", 0, 105, 385, 76, 566
"c:\Users\theoa\projects\graduate-back-end\routes\VisitRoutes.js", "JavaScript", 0, 183, 34, 50, 267
"c:\Users\theoa\projects\graduate-back-end\routes\VolunteerRoutes.js", "JavaScript", 0, 218, 77, 45, 340
"c:\Users\theoa\projects\graduate-back-end\server\index.js", "JavaScript", 0, 70, 4, 22, 96
"c:\Users\theoa\projects\graduate-back-end\utils\SendEmail.js", "JavaScript", 0, 26, 0, 2, 28
"c:\Users\theoa\projects\graduate-back-end\utils\SendPass.js", "JavaScript", 0, 30, 0, 4, 34
"c:\Users\theoa\projects\graduate-back-end\utils\ageUtils.js", "JavaScript", 0, 17, 3, 2, 22
"c:\Users\theoa\projects\graduate-back-end\utils\jwtHelpers.js", "JavaScript", 0, 11, 0, 1, 12
"Total", "-", 1936, 1407, 665, 335, 4343
